Type,Result,Name
gp-25,0,10
gp-25,1,Silver Ewer
gp-25,2,Carved Bone Statuette
gp-25,3,Small Gold Bracelet
gp-25,4,Cloth-of-gold Vestments
gp-25,5,Black Velvet Mask Stitched with Silver Thread
gp-25,6,Copper Chalice wih Silver Filigree
gp-25,7,Pair of Engraved Bone Dice
gp-25,8,Small Mirror Set in a Painted Wooden Frame
gp-25,9,Embroidered Silk Handkerchief
gp-25,10,Gold Locket with a Painted Portrait Inside
gp-250,0,10
gp-250,1,Gold Ring Set with Bloodstones
gp-250,2,Carved Ivory Statuette
gp-250,3,Large Fold Bracelet
gp-250,4,Silver Necklace with a Gemstone Pendant
gp-250,5,Bronze Crown
gp-250,6,Silk Robe wit Gold Embroidery
gp-250,7,Large Well-Made Tapestry
gp-250,8,Brass Mug with Jade Inlay
gp-250,9,Box of Turquoise Animal Figurines
gp-250,10,Gold Bird Cage with Electrum Filigree
gp-750,0,10
gp-750,1,Silver Chalice Set with Moonstones
gp-750,2,Silver-Plated Steel Longsword with Jet set in Hilt
gp-750,3,Carved Harp of Exotic Wood with Ivory Inlay and Zircon Gems
gp-750,4,Small Gold Idol
gp-750,5,Gold Dragon Comb Set with Red Garnets as Eyes
gp-750,6,Bottle stopper cork embossed with gold leaf and set with amethysts
gp-750,7,Ceremonial electrum dagger with a black pearl in the pommel
gp-750,8,Silver and gold brooch
gp-750,9,Obsidian statuette with gold fittings and inlay
gp-750,10,Painted fold war mask
gp-2500,0,10
gp-2500,1,Fine gold chain set with a fire opal
gp-2500,2,Old masterpiece painting
gp-2500,3,Embroidered silk and velvet mantle set with numerous moonstones
gp-2500,4,Platinum bracelet set with a sapphire
gp-2500,5,Embroidered glove set with jewel chips
gp-2500,6,Jeweled anklet
gp-2500,7,Gold music box
gp-2500,8,Gold circlet set with aquamarines
gp-2500,9,Eye patch with a mock eye set in blue sapphire and moonstone
gp-2500,10,A necklace string of small pink pearls
gp-7500,0,10
gp-7500,1,Jeweled gold crown
gp-7500,2,Jeweled platinum ring
gp-7500,3,Small gold statuette set with rubies
gp-7500,4,Gold cup set with emeralds
gp-7500,5,Gold jewelry box with platinum filigree
gp-7500,6,Painted gold child's sarcophagus
gp-7500,7,Jade game board with solid gold playing pieces
gp-7500,8,Bejeweled ivory drinking horn with gold filigree
