Type,Result,Name
Gp25,1,Silver ewer
Gp25,2,Carved bone statuette
Gp25,3,Small gold bracelet
Gp25,4,Cloth-of-gold vestments
Gp25,5,Black velvet mask stitched with silver thread
Gp25,6,Copper chalice wih silver filigree
Gp25,7,Pair of engraved bone dice
Gp25,8,Small mirror set in a painted wooden frame
Gp25,9,Embroidered silk handkerchief
Gp25,10,Gold locket with a painted portrait inside
Gp250,1,Gold ring set with bloodstones
Gp250,2,Carved ivory statuette
Gp250,3,Large fold bracelet
Gp250,4,Silver necklace with a gemstone pendant
Gp250,5,Bronze crown
Gp250,6,Silk robe wit gold embroidery
Gp250,7,Large well-made tapestry
Gp250,8,Brass mug with jade inlay
Gp250,9,Box of turquoise animal figurines
Gp250,10,Gold bird cage with electrum filigree
Gp750,1,Silver chalice set with moonstones
Gp750,2,Silver-plated steel longsword with jet set in hilt
Gp750,3,Carved harp of exotic wood with ivory inlay and zircon gems
Gp750,4,Small gold idol
Gp750,5,Gold dragon comb set with red garnets as eyes
Gp750,6,Bottle stopper cork embossed with gold leaf and set with amethysts
Gp750,7,Ceremonial electrum dagger with a black pearl in the pommel
Gp750,8,Silver and gold brooch
Gp750,9,Obsidian statuette with gold fittings and inlay
Gp750,10,Painted fold war mask
Gp2500,1,Fine gold chain set with a fire opal
Gp2500,2,Old masterpiece painting
Gp2500,3,Embroidered silk and velvet mantle set with numerous moonstones
Gp2500,4,Platinum bracelet set with a sapphire
Gp2500,5,Embroidered glove set with jewel chips
Gp2500,6,Jeweled anklet
Gp2500,7,Gold music box
Gp2500,8,Gold circlet set with aquamarines
Gp2500,9,Eye patch with a mock eye set in blue sapphire and moonstone
Gp2500,10,A necklace string of small pink pearls
Gp7500,1,Jeweled gold crown
Gp7500,2,Jeweled platinum ring
Gp7500,3,Small gold statuette set with rubies
Gp7500,4,Gold cup set with emeralds
Gp7500,5,Gold jewelry box with platinum filigree
Gp7500,6,Painted gold child's sarcophagus
Gp7500,7,Jade game board with solid gold playing pieces
Gp7500,8,Bejeweled ivory drinking horn with gold filigree
